
code	|	name	|	preferred name	|	lineage
1	|	ACIDIANUS FILAMENTOUS VIRUS 6	|	Acidianus filamentous virus 6	|	346882 341940 10477 1511857 10239 
1	|	ACIDIANUS HOSPITALIS	|	Acidianus hospitalis	|	563177 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	ACIDIANUS SP. A1-3	|	Acidianus sp. A1-3	|	1071056 2629519 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	ACIDIANUS TAILED SPINDLE VIRUS	|	Acidianus tailed spindle virus	|	1797140 1123963 423358 10239 
1	|	ACIDIANUS TENGCHONGENSES	|	Acidianus tengchongensis	|	146920 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	ACIDIANUS TENGCHONGENSIS	|	Acidianus tengchongensis	|	146920 12914 118883 2281 183924 28889 1783275 2157 131567 
1	|	ACIDIANUS TWO-TAILED VIRUS	|	Acidianus two-tailed virus	|	315953 680194 423358 10239 
1	|	ACIDILOBUS SACCHAROVORANS	|	Acidilobus saccharovorans	|	242703 105850 871007 871006 183924 28889 1783275 2157 131567 
1	|	ACIDIMICROBIUM FERROOXIDANS	|	Acidimicrobium ferrooxidans	|	53635 53634 84994 84993 84992 201174 1783272 2 131567 
1	|	ACIDITHIOBACILLUS CALDUS	|	Acidithiobacillus caldus	|	33059 119977 225058 225057 1807140 1224 2 131567 
1	|	ACIDITHIOBACILLUS FERROOXIDANS	|	Acidithiobacillus ferrooxidans	|	920 119977 225058 225057 1807140 1224 2 131567 
1	|	ACIDITHIOBACILLUS FERROOXIDANS ATCC 23270	|	Acidithiobacillus ferrooxidans ATCC 23270	|	243159 920 119977 225058 225057 1807140 1224 2 131567 
1	|	ACIDITHIOBACILLUS THIOOXIDANS	|	Acidithiobacillus thiooxidans	|	930 119977 225058 225057 1807140 1224 2 131567 
1	|	ACIDOBACTERIUM CAPSULATUM	|	Acidobacterium capsulatum	|	33075 33973 204434 204433 204432 57723 2 131567 
1	|	ACIDOTHERMUS CELLULOLYTICUS	|	Acidothermus cellulolyticus	|	28049 28048 85032 1643683 1760 201174 1783272 2 131567 
1	|	ACIDOTHERMUS CELLULOLYTICUS 11B	|	Acidothermus cellulolyticus 11B	|	351607 28049 28048 85032 1643683 1760 201174 1783272 2 131567 
1	|	ACIDOVORAX	|	Acidovorax	|	12916 80864 80840 28216 1224 2 131567 
1	|	ACIDOVORAX AVENAE	|	Acidovorax avenae	|	80867 12916 80864 80840 28216 1224 2 131567 
1	|	ACIDOVORAX CITRULLI	|	Acidovorax citrulli	|	80869 12916 80864 80840 28216 1224 2 131567 
1	|	ACIDOVORAX SP. MR-S7	|	Acidovorax sp. MR-S7	|	1268622 2684926 12916 80864 80840 28216 1224 2 131567 
1	|	ACINETOBACTER	|	Acinetobacter	|	469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER BACTERIOPHAGE AP22	|	Acinetobacter phage AP22	|	1187128 1915209 1915205 10662 28883 2731619 2731618 2731360 2731341 10239 
1	|	ACINETOBACTER BAUMANNII	|	Acinetobacter baumannii	|	470 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER BAUMANNII AB307-0294	|	Acinetobacter baumannii AB307-0294	|	557600 470 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER BAUMANNII AB5075	|	Acinetobacter baumannii AB5075	|	1116234 470 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER BAUMANNII ACICU	|	Acinetobacter baumannii ACICU	|	405416 470 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER BAUMANNII ATCC 17978	|	Acinetobacter baumannii ATCC 17978	|	400667 470 909768 469 468 72274 1236 1224 2 131567 
2	|	ACINETOBACTER BAUMANNII ATCC 19606	|	Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841	|	575584 470 909768 469 468 72274 1236 1224 2 131567 
3	|	ACINETOBACTER BAUMANNII ATCC 19606 = CIP 70.34	|	 	|	 
1	|	ACINETOBACTER BAUMANNII ATCC 19606 = CIP 70.34 = JCM 6841	|	Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841	|	575584 470 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER BAUMANNII IS-123	|	Acinetobacter baumannii IS-123	|	903899 470 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER BAUMANNII MRSN 3527	|	Acinetobacter baumannii MRSN 3527	|	1409923 470 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER BAUMANNII NIPH 410	|	Acinetobacter baumannii NIPH 410	|	1217634 470 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER BAUMANNII SDF	|	Acinetobacter baumannii SDF	|	509170 470 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER BAYLYI	|	Acinetobacter baylyi	|	202950 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER BEREZINIAE NIPH 3	|	Acinetobacter bereziniae NIPH 3	|	1217651 106648 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER CALCOACETICUS	|	Acinetobacter calcoaceticus	|	471 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER GLUTAMINASIFICANS	|	Acinetobacter glutaminasificans	|	474 469 468 72274 1236 1224 2 131567 
3	|	ACINETOBACTER GYLLENBERGII  CIP 110306T	|	 	|	 
1	|	ACINETOBACTER HAEMOLYTICUS	|	Acinetobacter haemolyticus	|	29430 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER JOHNSONII	|	Acinetobacter johnsonii	|	40214 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER NOSOCOMIALIS	|	Acinetobacter nosocomialis	|	106654 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER NOSOCOMIALIS M2	|	Acinetobacter nosocomialis M2	|	1343071 106654 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER PHAGE AM24	|	Acinetobacter phage AM24	|	1913571 196896 10662 28883 2731619 2731618 2731360 2731341 10239 
1	|	ACINETOBACTER PHAGE AP205	|	Acinetobacter phage AP205	|	154784 39683 11989 2732501 2732497 2732407 2732396 2559587 10239 
1	|	ACINETOBACTER PHAGE FRI1	|	Acinetobacter phage Fri1	|	1647373 1985712 1985711 2731645 2731643 28883 2731619 2731618 2731360 2731341 10239 
1	|	ACINETOBACTER PHAGE VB_ABAP_AS12	|	Acinetobacter phage vB_AbaP_AS12	|	1932885 2560263 1985711 2731645 2731643 28883 2731619 2731618 2731360 2731341 10239 
1	|	ACINETOBACTER PHAGE VB_APIP_P1	|	Acinetobacter phage vB_ApiP_P1	|	2016052 2171721 1985711 2731645 2731643 28883 2731619 2731618 2731360 2731341 10239 
1	|	ACINETOBACTER RADIORESISTENS	|	Acinetobacter radioresistens	|	40216 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER SP.	|	Acinetobacter sp.	|	472 196816 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER SP. ADP1	|	Acinetobacter baylyi ADP1	|	62977 202950 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER SP. ATCC 27244	|	Acinetobacter sp. ATCC 27244	|	525244 196816 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER SP. CIP 51.11	|	Acinetobacter sp. CIP 51.11	|	1144670 196816 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER SP. ENRICHMENT CULTURE CLONE 8407	|	Acinetobacter sp. enrichment culture clone 8407	|	1182652 75661 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER SP. NBRC 100985	|	Acinetobacter sp. NBRC 100985	|	1071390 196816 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER SP. RUH2624	|	Acinetobacter sp. RUH2624	|	575564 106654 909768 469 468 72274 1236 1224 2 131567 
1	|	ACINETOBACTER SP. VER3	|	Acinetobacter sp. Ver3	|	466088 196816 469 468 72274 1236 1224 2 131567 
1	|	ACIPENSER PERSICUS	|	Acipenser persicus	|	61968 7901 124130 124129 7900 186622 7899 32440 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	ACIPENSER STELLATUS	|	Acipenser stellatus	|	7903 7901 124130 124129 7900 186622 7899 32440 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	ACREMONIUM CHRYSOGENUM	|	Acremonium chrysogenum	|	5044 159075 162454 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	ACREMONIUM CHRYSOGENUM ATCC 11550	|	Acremonium chrysogenum ATCC 11550	|	857340 5044 159075 162454 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	ACREMONIUM STRICTUM	|	Sarocladium strictum	|	5046 284134 2502719 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	ACREMONIUM TUBAKII	|	Acremonium tubakii	|	146077 159075 162454 5125 222543 147550 715989 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	ACROPORA DIGITIFERA	|	Acropora digitifera	|	70779 6127 6126 123757 6125 6102 6101 6073 6072 33208 33154 2759 131567 
1	|	ACROPORA MILLEPORA	|	Acropora millepora	|	45264 6127 6126 123757 6125 6102 6101 6073 6072 33208 33154 2759 131567 
1	|	ACTINIA EQUINA	|	Actinia equina	|	6106 6104 42822 6103 6102 6101 6073 6072 33208 33154 2759 131567 
1	|	ACTINIA FRAGACEA	|	Actinia fragacea	|	396334 6104 42822 6103 6102 6101 6073 6072 33208 33154 2759 131567 
1	|	ACTINIDIA ARGUTA	|	Actinidia arguta	|	64478 3624 3623 41945 71274 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	ACTINIDIA CHINENSIS	|	Actinidia chinensis	|	3625 3624 3623 41945 71274 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	ACTINIDIA DELICIOSA	|	Actinidia deliciosa	|	3627 3624 3623 41945 71274 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	ACTINIDIA ERIANTHA	|	Actinidia eriantha	|	165200 3624 3623 41945 71274 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	ACTINOALLOTEICHUS SP. WH1-2216-6	|	Actinoalloteichus sp. WH1-2216-6	|	1074250 2644606 65496 2070 85010 1760 201174 1783272 2 131567 
1	|	ACTINOBACILLUS	|	Actinobacillus	|	713 712 135625 1236 1224 2 131567 
1	|	ACTINOBACILLUS ACTINOMYCETEMCOMITANS	|	Aggregatibacter actinomycetemcomitans	|	714 416916 712 135625 1236 1224 2 131567 
1	|	ACTINOBACILLUS PLEUROPNEUMONIAE	|	Actinobacillus pleuropneumoniae	|	715 713 712 135625 1236 1224 2 131567 
1	|	ACTINOBACILLUS PLEUROPNEUMONIAE SEROVAR 1	|	Actinobacillus pleuropneumoniae serovar 1	|	40325 715 713 712 135625 1236 1224 2 131567 
1	|	ACTINOBACILLUS SUCCINOGENES	|	Actinobacillus succinogenes	|	67854 713 712 135625 1236 1224 2 131567 
1	|	ACTINOBACILLUS SUIS	|	Actinobacillus suis	|	716 713 712 135625 1236 1224 2 131567 
1	|	ACTINOBACILLUS UREAE ATCC 25976	|	Actinobacillus ureae ATCC 25976	|	887324 723 713 712 135625 1236 1224 2 131567 
1	|	ACTINOBACTERIA BACTERIUM	|	Actinobacteria bacterium	|	1883427 52018 1760 201174 1783272 2 131567 
1	|	ACTINOBACTERIUM SCGC AAA027-L06	|	actinobacterium SCGC AAA027-L06	|	913338 52018 1760 201174 1783272 2 131567 
1	|	ACTINOMADURA	|	Actinomadura	|	1988 2012 85012 1760 201174 1783272 2 131567 
1	|	ACTINOMADURA KIJANIATA	|	Actinomadura kijaniata	|	46161 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	ACTINOMADURA MELLIAURA	|	Actinomadura melliaura	|	360723 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	ACTINOMADURA PARVOSATA	|	Actinomadura parvosata	|	1955412 1988 2012 85012 1760 201174 1783272 2 131567 
3	|	ACTINOMADURA SP	|	 	|	 
1	|	ACTINOMADURA SP.	|	Actinomadura sp.	|	1989 2626254 1988 2012 85012 1760 201174 1783272 2 131567 
3	|	ACTINOMADURA SP R39	|	 	|	 
3	|	ACTINOMADURA SP.R39	|	 	|	 
1	|	ACTINOMADURA SP. R39	|	Actinomadura sp. R39	|	72570 2626254 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	ACTINOMADURA VERRUCOSOSPORA	|	Actinomadura verrucosospora	|	46165 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	ACTINOMADURA VULGARIS	|	Actinomadura vulgaris	|	1233071 1988 2012 85012 1760 201174 1783272 2 131567 
1	|	ACTINOMYCES ISRAELII	|	Actinomyces israelii	|	1659 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	ACTINOMYCES NAESLUNDII	|	Actinomyces naeslundii	|	1655 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	ACTINOMYCES ODONTOLYTICUS	|	Schaalia odontolytica	|	1660 2529408 2049 2037 1760 201174 1783272 2 131567 
1	|	ACTINOMYCES ODONTOLYTICUS ATCC 17982	|	Schaalia odontolytica ATCC 17982	|	411466 1660 2529408 2049 2037 1760 201174 1783272 2 131567 
1	|	ACTINOMYCES ORIS	|	Actinomyces oris	|	544580 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	ACTINOMYCES SP. ORAL TAXON 171	|	Actinomyces sp. oral taxon 171	|	706438 2609248 1654 2049 2037 1760 201174 1783272 2 131567 
1	|	ACTINOMYCES UROGENITALIS DSM 15434	|	Actinomyces urogenitalis DSM 15434	|	525246 103621 1654 2049 2037 1760 201174 1783272 2 131567 
3	|	ACTINOMYCETE	|	 	|	 
1	|	ACTINOMYCETE ATCC 53650	|	actinomycete ATCC 53650	|	38989 105426 2037 1760 201174 1783272 2 131567 
3	|	ACTINOMYCETE SP.	|	 	|	 
1	|	ACTINOMYCETE SP9440	|	actinomycete Sp9440	|	66694 52018 1760 201174 1783272 2 131567 
1	|	ACTINOPLANES	|	Actinoplanes	|	1865 28056 85008 1760 201174 1783272 2 131567 
1	|	ACTINOPLANES FRIULIENSIS	|	Actinoplanes friuliensis	|	196914 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	ACTINOPLANES LIGURIENSIS	|	Actinoplanes liguriensis	|	69484 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	ACTINOPLANES MISSOURIENSIS	|	Actinoplanes missouriensis	|	1866 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	ACTINOPLANES SP.	|	Actinoplanes sp.	|	1871 2626549 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	ACTINOPLANES TEICHOMYCETICUS	|	Actinoplanes teichomyceticus	|	1867 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	ACTINOSYNNEMA PRETIOSUM	|	Actinosynnema pretiosum	|	42197 40566 2070 85010 1760 201174 1783272 2 131567 
1	|	ADENO-ASSOCIATED VIRUS	|	Adeno-associated virus	|	272636 341670 10803 40119 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ADENO-ASSOCIATED VIRUS - 1	|	Adeno-associated virus - 1	|	85106 1511891 10803 40119 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ADENO-ASSOCIATED VIRUS 2	|	Adeno-associated virus - 2	|	10804 1511891 10803 40119 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ADENO-ASSOCIATED VIRUS - 2	|	Adeno-associated virus - 2	|	10804 1511891 10803 40119 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ADENO-ASSOCIATED VIRUS 2 SRIVASTAVA/1982	|	Adeno-associated virus 2 Srivastava/1982	|	648242 10804 1511891 10803 40119 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ADENO-ASSOCIATED VIRUS 3B	|	Adeno-associated virus 3B	|	68742 46350 1511891 10803 40119 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ADENO-ASSOCIATED VIRUS - 4	|	Adeno-associated virus - 4	|	57579 1511891 10803 40119 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ADENO-ASSOCIATED VIRUS - 5	|	Adeno-associated virus - 5	|	82300 1511892 10803 40119 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ADENO-ASSOCIATED VIRUS 5	|	Adeno-associated virus - 5	|	82300 1511892 10803 40119 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ADENO-ASSOCIATED VIRUS - 6	|	Adeno-associated virus - 6	|	68558 85106 1511891 10803 40119 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ADENO-ASSOCIATED VIRUS - 8	|	Adeno-associated virus - 8	|	202813 57579 1511891 10803 40119 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ADENO-ASSOCIATED VIRUS 9	|	Adeno-associated virus 9	|	235455 57579 1511891 10803 40119 10780 2732534 2732422 2732415 2732092 2731342 10239 
1	|	ADIANTUM CAPILLUS-VENERIS	|	Adiantum capillus-veneris	|	13818 13817 29626 13819 2003540 3268 1521262 241806 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	ADINETA VAGA	|	Adineta vaga	|	104782 104781 104780 104779 44578 10190 2697496 2697495 33317 33213 6072 33208 33154 2759 131567 
1	|	ADVENELLA MIMIGARDEFORDENSIS DPN7	|	Advenella mimigardefordensis DPN7	|	1247726 302406 290425 506 80840 28216 1224 2 131567 
1	|	AEDES AEGYPTI	|	Aedes aegypti	|	7159 53541 7158 1056966 43817 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	AEGILOPS SPELTOIDES	|	Aegilops speltoides	|	4573 4480 1648030 147389 1648038 147368 359160 4479 38820 4734 1437197 4447 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	AEGILOPS TAUSCHII	|	Aegilops tauschii	|	37682 4480 1648030 147389 1648038 147368 359160 4479 38820 4734 1437197 4447 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
2	|	AEQUOREA AEQUOREA	|	Aequorea forskalea	|	2747904 6099 128126 500008 37516 6074 6073 6072 33208 33154 2759 131567 
1	|	AEQUOREA AUSTRALIS	|	Aequorea australis	|	1246302 6099 128126 500008 37516 6074 6073 6072 33208 33154 2759 131567 
1	|	AEQUOREA COERULESCENS	|	Aequorea coerulescens	|	210840 6099 128126 500008 37516 6074 6073 6072 33208 33154 2759 131567 
1	|	AEQUOREA VICTORIA	|	Aequorea victoria	|	6100 6099 128126 500008 37516 6074 6073 6072 33208 33154 2759 131567 
1	|	AEROCOCCUS URINAE	|	Aerococcus urinae	|	1376 1375 186827 186826 91061 1239 1783272 2 131567 
1	|	AEROCOCCUS VIRIDANS	|	Aerococcus viridans	|	1377 1375 186827 186826 91061 1239 1783272 2 131567 
1	|	AEROMONAS ENTEROPELOGENES	|	Aeromonas enteropelogenes	|	29489 642 84642 135624 1236 1224 2 131567 
1	|	AEROMONAS HYDROPHILA	|	Aeromonas hydrophila	|	644 642 84642 135624 1236 1224 2 131567 
1	|	AEROMONAS HYDROPHILA AL09-71	|	Aeromonas hydrophila AL09-71	|	1418110 644 642 84642 135624 1236 1224 2 131567 
1	|	AEROMONAS HYDROPHILA J-1	|	Aeromonas hydrophila J-1	|	1419584 644 642 84642 135624 1236 1224 2 131567 
1	|	AEROMONAS JANDAEI	|	Aeromonas jandaei	|	650 642 84642 135624 1236 1224 2 131567 
1	|	AEROMONAS PHAGE 44RR2.8T	|	Aeromonas virus 44RR2	|	115987 1912143 10662 28883 2731619 2731618 2731360 2731341 10239 
2	|	AEROMONAS PUNCTATA	|	Aeromonas caviae	|	648 642 84642 135624 1236 1224 2 131567 
1	|	AEROMONAS SALMONICIDA	|	Aeromonas salmonicida	|	645 642 84642 135624 1236 1224 2 131567 
1	|	AEROMONAS SOBRIA	|	Aeromonas sobria	|	646 642 84642 135624 1236 1224 2 131567 
1	|	AEROMONAS VERONII HM21	|	Aeromonas veronii Hm21	|	1347420 654 642 84642 135624 1236 1224 2 131567 
1	|	AEROPYRUM PERNIX	|	Aeropyrum pernix	|	56636 56635 2272 114380 183924 28889 1783275 2157 131567 
1	|	AEROPYRUM PERNIX BACILLIFORM VIRUS 1	|	Aeropyrum pernix bacilliform virus 1	|	700542 1232738 1232737 10239 
1	|	AEROPYRUM PERNIX K1	|	Aeropyrum pernix K1	|	272557 56636 56635 2272 114380 183924 28889 1783275 2157 131567 
1	|	AESCULUS HIPPOCASTANUM	|	Aesculus hippocastanum	|	43364 43363 1977920 1977916 23672 41937 91836 71275 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	AFIFELLA PFENNIGII	|	Afifella pfennigii	|	209897 643217 119043 356 28211 1224 2 131567 
1	|	AFRICAN CASSAVA MOSAIC VIRUS	|	African cassava mosaic virus	|	10817 10814 10811 2732539 2732424 2732416 2732092 2731342 10239 
1	|	AFRICAN HORSESICKNESS VIRUS	|	African horse sickness virus	|	40050 10892 689832 10880 2732541 2732459 2732405 2732396 2559587 10239 
1	|	AFRICAN SWINE FEVER VIRUS	|	African swine fever virus	|	10497 39743 137992 2732526 2732525 2732007 2732005 2732004 10239 
1	|	AFRICAN SWINE FEVER VIRUS BA71V	|	African swine fever virus BA71V	|	10498 10497 39743 137992 2732526 2732525 2732007 2732005 2732004 10239 
1	|	AFRICAN SWINE FEVER VIRUS PIG/KENYA/KEN-50/1950	|	African swine fever virus pig/Kenya/KEN-50/1950	|	561445 10497 39743 137992 2732526 2732525 2732007 2732005 2732004 10239 
1	|	AGARICUS BISPORUS	|	Agaricus bisporus	|	5341 5340 5339 5338 452333 155619 5302 5204 451864 4751 33154 2759 131567 
1	|	AGARICUS BISPORUS VAR. BISPORUS H97	|	Agaricus bisporus var. bisporus H97	|	936046 192523 5341 5340 5339 5338 452333 155619 5302 5204 451864 4751 33154 2759 131567 
1	|	AGARIVORANS GILVUS	|	Agarivorans gilvus	|	680279 261825 72275 135622 1236 1224 2 131567 
1	|	AGATHOBACTER RECTALIS	|	[Eubacterium] rectale	|	39491 186928 186803 186802 186801 1239 1783272 2 131567 
1	|	AGELENA ORIENTALIS	|	Agelena orientalis	|	293813 29933 6906 94020 74971 6905 6893 6854 6843 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	AGELENOPSIS APERTA	|	Agelenopsis aperta	|	6908 6907 6906 94020 74971 6905 6893 6854 6843 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	AGERATUM YELLOW VEIN VIRUS	|	Ageratum yellow vein virus	|	44560 10814 10811 2732539 2732424 2732416 2732092 2731342 10239 
1	|	AGGREGATIBACTER ACTINOMYCETEMCOMITANS	|	Aggregatibacter actinomycetemcomitans	|	714 416916 712 135625 1236 1224 2 131567 
